;date;text;geo;mentions;hashtags;Unnamed: 5
1361;2013-01-02;the fact that it takes my dryer over 2 hours to dry my jeans is ridiculous;;;;
1362;2013-01-02;I literally don't remember the last time I wore jeans;;;;
1364;2013-01-02;The Only Reason I Walk Widda Bop And A Lean'..Is Cuh My Dick Don't Fit In My Jeans '♪ Ahahaa;;;;
1365;2013-01-02;@_EMMdaawg: @tambam30 told me u lookin thick in them jeans . Well thanks lol;;@_EMMdaawg @tambam30;;
1366;2013-01-02;My hair stays in a ponytail. I wear jeans and t-shirts. I rarely wear make-up. , i dnt care what nobody think of me soo swerve.;;;;
1368;2013-01-02;@logan_rachelle if you clean out your closet, save any jeans your getting rid of for me please!! :);;@logan_rachelle;;
1369;2013-01-02;Your stare was holdin, ripped jeans skin was showin, canny neet the wind was blowin where ya think ya gannan darlin? #GeordieCover;;;#GeordieCover;
1370;2013-01-02;@YouAreMySundown hmm yeah thats a point. me, dresses and alcohol dont have a good past... you going jeans /legging?;;@YouAreMySundown;;
1371;2013-01-02;@_McLangBang_ jeans and that tailgating shirt and a jacket!its freezing!;;@_McLangBang_;;
1372;2013-01-02;Pennies and dimes for a kiss I wasn't looking for this, But now you're in my way Your stare was holdin', Ripped jeans , skin was showin';;;;
1373;2013-01-02; @TheRealKristenG : Shawdy had them Apple Bottom Jeans Boots with the Fur!!!!LMFAOOO;;@TheRealKristenG;;
1375;2013-01-02;Fit booty probzzz! RT @MarkVerdino : Tru religion jeans are overrated..they fit terrible;;@MarkVerdino;;
1376;2013-01-02;and do not sleep in thy jeans , for it causes pain like no other.;;;;
1379;2013-01-02;@JessicaHorrell also, they are probably less offensive than your Rag & Bone printed jeans ...;;@JessicaHorrell;;
1381;2013-01-02;@luvjones89 lol. Ok, im 4 and my jeans are tighter around the waist, maybe I still got some hope. If not... -( >=O;;@luvjones89;;
1382;2013-01-02;Putting jeans on is like Spongebob when blowing a bubble. #BringItAroundTown;;;#BringItAroundTown;
1383;2013-01-02;I paid $188 for rock revival jeans friday THEY RIPPED. SCREW YOU BUCKLE.;;;;
1384;2013-01-02;I love low cut jeans .;;;;
1385;2013-01-02;I thought Victorias Secret sold men panties to , now where am i gonna buy cheap man thongs for my skinny jeans #ManShiz #DyingSperm;;;#ManShiz #DyingSperm;
1386;2013-01-02;@DejaaLee they are faggots. What is so wrong with wearing nose rings. Just like skinny jeans .;;@DejaaLee;;
1387;2013-01-02;I love cute clothes jeans pants dresses shirts #period;;;#period;
1391;2013-01-02;And I Can't Wear Skinny Jeans;;;;
1393;2013-01-02;I feel like I'm on crack! my Rue 21 jeans are a 9/10 & they falling off me...+ they skinnys! Lol th?;;;;
1394;2013-01-02;@shhmelissa indeed you should :) but woah woah hang on...I'm not great? Apart from the man himself Mr jeans , I put the spark in business );;@shhmelissa;;
1395;2013-01-02;A toner? A musical boner? I CAN SEE YOUR TONER THROUGH THOSE JEANS;;;;
1396;2013-01-02;Yea my TRUE weakness is when a girl wears white jeans ! My gosh;;;;
1397;2013-01-02;Short o Jeans ?;;;;
1398;2013-01-02;I can see your toner through those jeans #pitchperfect;;;#pitchperfect;
1401;2013-01-02;I should wear jeans more often ..;;;;
1403;2013-01-02;Wearing a tank top and a cardigan with jeans or a skirt is not a fucking outfit #STOPPPP;;;#STOPPPP;
1404;2013-01-02;WEAPONS: 7000 blk Yorkshire Drive. Black colored hoodie and jeans , 18 y/o m/b pulled gun on 16 y/o caller #Flint;;;#Flint;
1405;2013-01-02;@TheEllenShow Ellen! I really need some new jeans . #12DaysofGiveaways #PickMeEllen;Mobile, AL;@TheEllenShow;#12DaysofGiveaways #PickMeEllen;
1406;2013-01-02;Does anyone know where I can buy skinny jeans that aren't to long to fit small legs?;;;;
1407;2013-01-02;@spicyjennel_ *kisses her back slowly, smiling to himself before he pushes his jeans down*;;@spicyjennel_;;
1408;2013-01-02;“Beauty isn’t judged on the size of your jeans .”;;;;
1409;2013-01-02;Ion wear tight Jeans like the white boys !;;;;
1410;2013-01-02;Hate to complain about losing weight.. but my jeans are all too big now. >:(;;;;
1412;2013-01-02;Might have to carry a purse because all the cute jeans now are jeggings and they don't have front pockets. but i still probably wont.;;;;
1413;2013-01-02;I hate jeans . yoga pants & leggings over everything.;;;;
1414;2013-01-02;Black trainers just don't go with light jeans;;;;
1416;2013-01-02;I remember when @wileywilez asked if we could swap jeans ...;;@wileywilez;;
1417;2013-01-02;Blue jeans , white shirt;;;;
1418;2013-01-02;Guys clothes are so much more comfortable than girls clothes-- t shirts, sweats and shorts > jeans , shirts, bras and dresses;;;;
1419;2013-01-02;A skirt with a jeans pants? :s;;;;
1420;2013-01-02;why would I bother putting jeans on for people I hate?;;;;
1421;2013-01-02;a good roommate is like a good pair of jeans . You hold onto them- Lauren Conrad #thehills @mariahmessina;;@mariahmessina;#thehills;
1422;2013-01-02;Jeans && a hoodie type-of day tomorrow.;;;;
1424;2013-01-02;I love Walmart because $170 means 3 pairs of shoes, 3 pairs of pants, 2 cardigans, 2 blouses, a dress & a skirt. Not just 1 pair of jeans .;;;;
1425;2013-01-02;I love these jeans ^.^;;;;
1426;2013-01-02;im wearing jeans .;;;;
1427;2013-01-02;Online shopping at Express. For $50 I got a pair jeans and a belt.....both 30% off smh;;;;
1428;2013-01-02;i still wear my skinny jeans . they look cool on me so fuck yall;;;;
1430;2013-01-02;I don't like the feel of new jeans;;;;
1431;2013-01-02;omg my jeans are definitely going to rip soon.;;;;
1432;2013-01-02;@FollowMe2_Paris I didn't notice until like 6months when my jeans wouldn't fit lol;;@FollowMe2_Paris;;
1433;2013-01-02;I'm wearing light pink jeans tonight... And I don't hate it.;;;;
1435;2013-01-02;“ @JOJOJUDY : Lol wish I could relate to y'all. I wasn't allowed.. My mom wouldn't even let me wear stretch jeans .”I see why!;;@JOJOJUDY;;
1436;2013-01-02;@AwaisGooch fam! don't start with me when you talk about fire in the booths, i may wear skinny jeans but i know my grime.;;@AwaisGooch;;
1437;2013-01-02;@gracedent @eammon_forde Those jeans have made a comeback ya know.;;@gracedent @eammon_forde;;
1438;2013-01-02;I literally own 2 pair of jeans lol everything is business casual or professional slacks I'm different..whatever that means;;;;
1439;2013-01-02;I just googled 'flamboyant jumpers'. I need one to match my orange jeans .;;;;
1440;2013-01-02;@laurencevanhool my jeans are never empty;;@laurencevanhool;;
1442;2013-01-02;tomorrow's gonna be a lazy day. tyedye, skinny jeans , and knock off vans.;Dyer, AR;;;
1443;2013-01-02;“ @SaileyBinner : I CAN SEE YOUR TONER THROUGH THOSE JEANS ” that's my dick.;;@SaileyBinner;;
1444;2013-01-02;Skinny jeans and black chucks.;;;;
1446;2013-01-02;Just found jeans that are long enough??? #ibelieveinmiracles;Sunset Hills, MO;;#ibelieveinmiracles;
1447;2013-01-02;i wanna pair of boy jeans , hmm were to get em from?;;;;
1448;2013-01-02;"Had to listen to a guy in blue jeans scream ""GETCHA YA MONEY, GETCH YA MONEY"" at a ten year old doing bench press #myweirdgymstory";;;#myweirdgymstory;
1450;2013-01-02; @funnyjokes_123 : Please don't wear skinny jeans , if you don't have any skinny genes.;;@funnyjokes_123;;
1454;2013-01-02;“@tylergaangordie: #SingleBecause who the hell knows.” You wear girl jeans hahaha jk;;@tylergaangordie;#SingleBecause;
1456;2013-01-02; @heweno : That awkward moment you put on your apple bottom jeans and can't find your boots with the fur everyday problem;;@heweno;;
1457;2013-01-02;This skinny chick ass about as fat as a Lcd Tv in these jeans .;;;;
1460;2013-01-02;Rough ass beards and military jackets wit beat up jeans and dirty boots/sneakers;;;;
1462;2013-01-02;love my new jeans ripping as I step up into the car..... clearly enjoyed christmas way to much. #fml #bitfathungrybitch;;;#fml #bitfathungrybitch;
1464;2013-01-02;I love gettin that big percent off at work gettin all the new shoes, bags, jeans etc (*:;;;;
1466;2013-01-02;Digginn my new camo jeans $.;;;;
1469;2013-01-02;let sum real unhumble farts out bout 3hrs ago.....took off my work jeans & they was still lingerin around;;;;
1470;2013-01-02;goal for 2013 wear skinny jeans and feel good about it;;;;
1471;2013-01-02;Shawty had them apple bottom jeans , boots with the fur;;;;
1474;2013-01-02;I can see that toner through those jeans , That's my dick haha she's so funny!;;;;
1475;2013-01-02;"the fact that the song ""apple bottom jeans , boots with the fur!"" came on the radio today";;;;
1476;2013-01-02;I love how in shows and movies people are on the beach in jeans and a sweat shirt?! #LetsBeRealisticHere;;;#LetsBeRealisticHere;
1478;2013-01-02;u dont see me tryna wear apple bottom jeans now do u...i aint delusional;;;;
1479;2013-01-02;@theresnooneroad YOU PASSED DOWN THE SCARING JEANS AND GENES;;@theresnooneroad;;
1480;2013-01-02;Ion like tight jeans or chuck Ts;;;;
1482;2013-01-02;Lol wish I could relate to y'all. I wasn't allowed.. My mom wouldn't even let me wear stretch jeans .;;;;
1485;2013-01-02;@richelboy any pics w/ uin ur suit and tie and socks and ur tight jeans and hard cock w/ socks;;@richelboy;;
1486;2013-01-02;Shayla said she's in her bra and underwear. This bitch was in her bra and jeans .;;;;
1488;2013-01-02;Blue Jeans is probably my favourite song ever;;;;
1489;2013-01-02;i look so good in tight jeans and all black ugh this is ridic;;;;
1490;2013-01-02;"OMG I can't believe my grandpa just said "" Im getting my SWAG on"" will he's sagging in jeans to his ankles ... I see enough #Smh";;;#Smh;
1492;2013-01-02;@xoEMC And what a fun night. No Jeans = Campbell's Loft.;;@xoEMC;;
1493;2013-01-02;@birbigs @xadrian Colorado is just starting to get it's act together. Besides, y'all look goofy wearing jeans on the slopes. Stick with TX!;;@birbigs @xadrian;;
1494;2013-01-02;@The_kid_Smiles I don't wear jeans but I rock the khakis you know girls be screamin they trying to sack me?;;@The_kid_Smiles;;
1495;2013-01-02;Urhhh, blue jeans .. I'm faded.;;;;
1496;2013-01-02;Had no idea @tommcfly has a singing sister. Talent ... in the jeans . Amazing.;;@tommcfly;;
1497;2013-01-02;I'm glad she didn't wear just jeans and a hoodie with mad jewelry!! Lol.;;;;
1498;2013-01-02;Shawdy had them Apple Bottom Jeans Boots with the Fur!!!!;;;;
1499;2013-01-02;Walking on a treadmill at .2 with jeans and headphones bigger than your head on does not count as a workout #itsaproblem;;;#itsaproblem;
1502;2013-01-02;Please don't wear skinny jeans , if you don't have any skinny genes.;;;;
1503;2013-01-02;@kellls_ANGELS idk man ahahha just wear like jeans uggs and a nice shirt;;@kellls_ANGELS;;
1504;2013-01-02;I don't get holes with jeans on them. - @KenzieConley11;;@KenzieConley11;;
1505;2013-01-02;You wore these jeans ..girl you wore these jeans .;;;;
1507;2013-01-02;@scoobydooL3 @ianswiftblade unless it's macy's! They have good jeans . Probably for guys too. Go to kohl's;;@scoobydooL3 @ianswiftblade;;
1508;2013-01-02;Olee Girl Had On A Northface Jacket & Some RocaWear Jeans o.O lmaooo(: #BoyfriendTweet;;;#BoyfriendTweet;
1511;2013-01-02;What's in them jeans just got my mind hectic;;;;
1513;2013-01-02;@richeyirvin @the_matt_epp I don't think they make guy jeans ....but you could always throw on a pair of girls...;;@richeyirvin @the_matt_epp;;
1514;2013-01-02;Why do people think it's okay to wear jeans to work out? Or that it's okay to wear only a sports bra if you're 50+ years old? #wow;;;#wow;
1515;2013-01-02;Skinny jeans .... a part of fashion that I will never take part in.. #idontgetit;;;#idontgetit;
1516;2013-01-02;Man im mad I look bad -_- my aunt will never pull up as I'm changing -_- looks like jeans it is Sorry Linds :/;;;;
1517;2013-01-02;I should have taken a picture. T-shirt, jeans and heals. Low key. RT @coquitlamcentre @EmilieClarke : What did you end up wearing for #NYE ?;;@coquitlamcentre @EmilieClarke;#NYE;
1519;2013-01-02;#15factsaboutme I'm a no bullsh*t type of person, bc i can't stand false ppl, i loooove 90's R&B, I'm a Jeans & T-shirt kind of gal lol.;;;#15factsaboutme;
1521;2013-01-02;@_disfunctional Since you two cowboys love to drink booze, smoke weed w/ kids, and fuck anything w/ a big ass in jeans w/ low self-esteem...;;@_disfunctional;;
1522;2013-01-02;@idkchristian soo all of your h&m sweatshirts and jeans;;@idkchristian;;
1523;2013-01-02;@richelboy yum so u have smelly stinky dress socks and sweaty dress shoes and i guess stinky white socks w/ those tight jeans my cock hard;;@richelboy;;
1526;2013-01-02;I'm in my house with a hoodie & north face & jeans , and I'm still freezing holy shit;;;;
1527;2013-01-02;Blue jeans , white shirt, walked into the room, you know you made my eyes burn...;;;;
1528;2013-01-02;Love getting out of skinny jeans into my pajamas!:D;Gwynedd, Wales;;;
1529;2013-01-02;Every time I see a dude wearing jeans with rips at the knee, I assume the rips came from sucking a lot of dick.;;;;
1531;2013-01-02;@jailedmoose1 *Slowly unbuttoning your jeans . Eyes still fixed on you.*;;@jailedmoose1;;
1532;2013-01-02;If you wear tight jeans ya fake bc lets admit it, your ass is not that perfect;;;;
1535;2013-01-02;Fat people in skinny jeans = Serious crime;;;;
1537;2013-01-02;@BeccaShipe FINALLY FOUND A PAIR OF JEANS TO REPLACE THE ONES I RIPPED IM SO HAPPY;;@BeccaShipe;;
1540;2013-01-02;I'm mad because all my true religion jeans a size to big;;;;
1549;2013-01-02;I need some more jeans bad.;;;;
1550;2013-01-02;@kicksonfire There is no off season. Don't have 50 pairs of kicks, but 1 pair of ratty ass jeans , 2 tees, a hoodie and 1 coat. #shortmoney;;@kicksonfire;#shortmoney;
1551;2013-01-02;"RT"" @lil_StrippaGirl : I'm tired of wearing Jeans , Im about to only wear leggings.""";;@lil_StrippaGirl;;
1552;2013-01-02;Athletes never find the right jeans . They either fit in the waist and not the legs or fit in the legs and not the waist. #RunnerProbs;;;#RunnerProbs;
1553;2013-01-02;On a better note, these were jeans I could only fit 3 years ago. #gettingdressedinthedark;;;#gettingdressedinthedark;
1555;2013-01-02;@tonipapauhh he had to be. Them jeans tho! They were tiiiiight af. Lmao. :);;@tonipapauhh;;
1556;2013-01-02;Ice skating in jeans < any other type of ice skating;;;;
1557;2013-01-02;@otenki for the love of God please don't EVER be about the skinny jeans;;@otenki;;
1559;2013-01-02;@FinnHoodson Quinn smiled a little before undoing Finn's jeans and slowly pushing them down, biting her lower lip when she saw her--;;@FinnHoodson;;
1560;2013-01-02;You know those white girls that always wear a slicked back bun with dark lipstick and a warm up jacket with flared jeans ? Lol;;;;
1564;2013-01-02;True!!! “ @UpAllKnight_ : uggs, northface jacket, skinny jeans . winter outfit for a basic bitch”;;@UpAllKnight_;;
1565;2013-01-02;@OhShitItsVic said the nigga that wore skinny jeans when he was a skater;;@OhShitItsVic;;
1566;2013-01-02;New pair of Miss Me Jeans !!;;;;
1567;2013-01-02;@WhereYou_Bean my man jelly bean be rockin the scene, girls screamin tryna get in his jeans;;@WhereYou_Bean;;
1568;2013-01-02;I hate shopping for jeans . And my brother needs to gain weight... No one carries his size. Being in shape is overrated.;Montgomery, AL;;;
1569;2013-01-02;"Lmfao you dumb nigga ""@RedCrownRussell: I bought a pair of super skinny jeans , R.I.P to my nuts.""";;@RedCrownRussell;;
1570;2013-01-02;@AdelitasEvo Me too. Plus, I want my jeans to fit. Lol.;;@AdelitasEvo;;
1571;2013-01-02;All my pants and jeans fit me long ._. #shortgirlproblems;;;#shortgirlproblems;
1572;2013-01-02; @court_o : Other than the cute ass jeans I'm wearing today I look ratchet as fuckkk yeah totally. #TheHell ? I wore sweats. #Slobbb;;@court_o;#TheHell #Slobbb;
1575;2013-01-02;Would like to find a decent pair of jeans for once...;;;;
1577;2013-01-02;@FuckYouJas you like them tight jeans and nose rings wearin fellers don't ya?! Lol;;@FuckYouJas;;
1579;2013-01-02;taken christmas over eating to a whole new level, my jeans are stuck round my ankle. #cankles;;;#cankles;
1580;2013-01-02;Red jeans . RED FREAKIN JEANS !!!!! Got them today at the mall!!!!! #yay #NeedBlueStipes;;;#yay #NeedBlueStipes;
1582;2013-01-02;@MaryamAlsammak your only gonna wear a red jacket ? ( & this shirt with marilyn monroe sexy ass , grey jeans & black toms ^.^;;@MaryamAlsammak;;
1583;2013-01-02;@ianswiftblade depends on where you are and how nice they are. I wouldn't spend more than $30 on jeans . Where are you?;;@ianswiftblade;;
1584;2013-01-02;I just don't think Miss Me jeans are cute..;;;;
1585;2013-01-02;I think ima wear my pink jeans today;;;;
1587;2013-01-02;2 pairs of 50$ jeans from pacsun only 20$.. #win;;;#win;
1588;2013-01-02;All that ass in those jeans .;;;;
1589;2013-01-02;We don't have to do Much, we don't have to Rush, but I gotta see what's in them Jeans !;;;;
1591;2013-01-02;it's gonna be like a beginning of the year a over again getting used to wearing jeans;;;;
1592;2013-01-02;Always love when I get new jeans ! #especiallyonsale (:;;;#especiallyonsale;
1594;2013-01-02;@niallidc when Harry's jeans were still baggypp;;@niallidc;;
1595;2013-01-02;Rockin In My Rock Jeans !;;;;
1596;2013-01-02;@t0il3t_ @R0ckMeNiall @penguin768 I GET MY JEANS AT HOLLISTER AND I HAVE TO WEAR A 5 THERE BUT IDK I'M MORE OF A SKIRT/DRESS GIRL;;@t0il3t_ @R0ckMeNiall @penguin768;;
1597;2013-01-02;@NICKIMINAJ you shoulda threw dem jeans & the hoodie on babe. Fuck em, lol.;;@NICKIMINAJ;;
1600;2013-01-02;MY JEANS CAME TODAY!!!!;;;;
1602;2013-01-02;Just realised that the jeans I put on this morning weren't the jeans I thought they were. If this is what 2013 is gonna be like, I'm done.;;;;
1603;2013-01-02;Long socks jeans fleece uggs scarf hat gloves bet I won't be cold;;;;
1604;2013-01-02;Yea you clean with ya true religion jeans and prada shoes with ya gucci belt. But yet you take the bus to work? #Priorities;;;#Priorities;
1605;2013-01-02;I really do not feel like looking classy though, I wanna wear some jeans mad jewelry and a hoodie - @NICKIMINAJ;;@NICKIMINAJ;;
1606;2013-01-02;Wow, a black North Face and jeans . You must have really tried this morning! #trendyproblems;;;#trendyproblems;
1608;2013-01-02;Just found a hole in the crotch of my jeans . I had 3 denim blowouts last year and it's looking like 2013 could be a real record setter.;;;;
1609;2013-01-02;I've been witing for my dad to throw on some jeans and shoes for like 20 minutes now;;;;
1610;2013-01-02;@TayPayneHoran Blue Jeans is mine:).;;@TayPayneHoran;;
1612;2013-01-02;Flower blue hairband,Blue blouse,turqouise cardigan,Blue Jeans ,Dark blue&Green Fipper and light blue name tag.NISSAYYYYYYY;;;;
1613;2013-01-02;@edsheeran HOLLDDDD MY EARRINGS. You're perfect and admirable because you wore jeans and a t shirt to the Brit Awards. They need a hug.;;@edsheeran;;
1617;2013-01-02;Totally just found my moms high wasted floral jeans from when she was in college and cut them into shorts for me #genius;;;#genius;
1621;2013-01-02;“ @Matt_BOH : Just found my first grey hair! :'( #GettingOld ” and its defo not jeans ! #baldnext;;@Matt_BOH;#GettingOld #baldnext;
1622;2013-01-02;I hate nothing more than buying jeans .;;;;
1623;2013-01-02;@gaalihmuhammad Chino& Jeans bhn strecth/cotton wrn,size by req mlai dr 130rb 08818243779/pin 32a5d293 ready april,zara,psd,nudie only 155k;;@gaalihmuhammad;;
1625;2013-01-02;I bought a pair of super skinny jeans , R.I.P to my nuts.;;;;
1626;2013-01-02;it's kinda weird to see rob dyrdek in anything other than saggy jeans and a hoodie;;;;
1627;2013-01-02;@LittleAaron_ *laughs and helps you off with your tshirt and jeans and on with the giant one, laughing at how big it looks* Very nice!;;@LittleAaron_;;
1629;2013-01-02;DAT BAMMA Brian said she better not wear no slim for jeans she need to wear some Flares.. I screamed @Md_Badboy;;@Md_Badboy;;
1630;2013-01-02;@nippplelicker As long as it's indoors i don't mind, just don't wanna get my jeans dirty;;@nippplelicker;;
1635;2013-01-02;What you gon do with all that ass inside them jeans ...;;;;
1637;2013-01-02;What you gonna do with all that ass inside them jeans ?;;;;
1639;2013-01-02;I find skinny jeans quite comfy actually.;;;;
1640;2013-01-02;@Morgan__Whitt if you can still button your skinny jeans , you're safe. Paha!;;@Morgan__Whitt;;
1642;2013-01-02;So far, I think we can all agree that the woman I saw in neon orange jeans today is the low point of 2013. @sgnp @SteveHuff @dvnix;;@sgnp @SteveHuff @dvnix;;
1643;2013-01-02;I money ball Billy Bean and some skinny jeans .;;;;
1645;2013-01-02;I want to punch this program in the jeans , man. I really and truly do.;;;;
1646;2013-01-02;Besides my Levis those my favorite Jeans;;;;
1648;2013-01-02;I'm gonna wear my new Bullhead jeans tonight  lol... #dontjudge;;;#dontjudge;
1649;2013-01-02;My granny wears more stylish jeans than i do #lameass;;;#lameass;
1651;2013-01-02;@kennkotyk that anchor shirt, jeans , sweatpants and all those shirts you borrowed a while ago;;@kennkotyk;;
1652;2013-01-02;These 09 first ever bleached jeans .;;;;
1653;2013-01-02;:) loveing my new green jeans :) and ma red shorts cant wait till summer comes im all set :);;;;
1654;2013-01-02;"I can see your toner through those jeans ! ""That's my dick""";;;;
1655;2013-01-02;Whatcha you going to do with all that ass inside them jeans .;;;;
1656;2013-01-02;I feel like I should own at least ONE pair of jeans . :\;;;;
1658;2013-01-02;Jeans are nasty. #SweatpantsTeam;;;#SweatpantsTeam;
1660;2013-01-02;Omg I havent wore jeans since the beginning of the school year.;Perris, CA;;;
1661;2013-01-02;These Hollister jeans >>> #newfavoritepair;;;#newfavoritepair;
1662;2013-01-02;@love__kryss nahhh true religion is good, at least their expensive jeans and it makes sense to wear an expensive belt with it lol;;@love__kryss;;
1663;2013-01-02;Apple bottom jeans , boots with the fur #low;;;#low;
1664;2013-01-02;In the nine circles of hell, jeans shopping is my outer circle. Hoping to get this over quick!;Toronto, Ontario;;;
1666;2013-01-02;@alynnleonard I got two pairs of Abercrombie jeans today and it made me think of you! haha #yourcloset;;@alynnleonard;#yourcloset;
1667;2013-01-02;Sweatpants or jeans tomorrow ? #firstworldproblems;;;#firstworldproblems;
1668;2013-01-02;Ian gone lie i would choose leggings and sweatpants over jeans ANYDAY;;;;
1670;2013-01-02;Tight jeans and nose rings for yall boyz nowadays huh?!;;;;
1672;2013-01-02;@Dimas_AxO Chino& Jeans bhn strecth/cotton wrn,size by req mlai dr 130rb 08818243779/pin 32a5d293 ready jg aprill,zara,psd,nudie only 155k;;@Dimas_AxO;;
1673;2013-01-02;@dobz24 I wash my jeans , Dylan. And I don't drink alcohol..;;@dobz24;;
1675;2013-01-02;Can anybody on my TL wear size four jeans ?;;;;
1676;2013-01-02;It's really nice I can fit in all my old jeans again.;;;;
1677;2013-01-02;"I can see your toner through your jeans . ""That's my dick.""";;;;
1678;2013-01-02;“ @roo_knee711 : Wearing Jeans is easily one of my least favorite things to do” @emilyroons;;@roo_knee711 @emilyroons;;
1679;2013-01-02;Ripped my last good pair of jeans #fuckkkkk;;;#fuckkkkk;
1682;2013-01-02;My Green Jeans Are My Favorite Jeans But They're Getting Too Big;;;;
1683;2013-01-02;Baggy sweat pants > jeans;;;;
1684;2013-01-02;@MyaJohnson34 wear high colorful socks roll up your jeans wear glasses ??? :);;@MyaJohnson34;;
1685;2013-01-02;take ur camouflaged army jacket, ur tumblr account, ur skinny jeans +your nike blazers+ur snapback backwards and do one. #TumblrMeetingInSize;;;#TumblrMeetingInSize;
1686;2013-01-02;bitch before i met you, you was wearing 20 jeans with baby doll shoes rt;;;;
1690;2013-01-02;You got bandana, skinny jeans wearing fagboys who have no technical skills and don't know what a hard days work is.;;;;
1691;2013-01-02;"a girl removed her jeans , throws it at her bf & said ""make me feel like a woman"" boy removed his jeans & said ""here, now wash them both.""";;;;
1693;2013-01-02;What's with these throwback songs right now?! They aren't even the good ones. Apple bottom jeans ?;;;;
1694;2013-01-02;My jeans cost a thousand my whip from the old school;;;;
1696;2013-01-02;Hahahahahha I'm sorry @jakeb_smith that most of the girls wore buckle jeans;;@jakeb_smith;;
1697;2013-01-02;Thank god for leggings and jeggings because jeans are so uncomfortable.;;;;
1698;2013-01-02;She wore blue jeans and a rosary;;;;
1699;2013-01-02;Young Nigga wit his jeans low... Nice guy wit a mean flow;;;;
1700;2013-01-02;“ @iamMYLASIA : Don't nobody wear light blue jeans nomore she shot tf out”;;@iamMYLASIA;;
1701;2013-01-02;its official my puppy has ripped holes in EVERY pair of jeans i have, and most of my hoodies... smh;;;;
1702;2013-01-02;I like when guys were sweats better than jeans #socute;;;#socute;
1703;2013-01-02;is there any more room in those jeans ♡.♡;;;;
1704;2013-01-02;What about jeans o.o 40$ seems like alot for 1 pair of jeans;;;;
1705;2013-01-02;I'm tired if snug ass jeans , vests n Mohawks.....fck outta here! #realBay 501's, Jordan's....hoodies...thermals with T's. must've forgot;;;#realBay;
1707;2013-01-02;#favoritejeans my cinch gold labels! My horse ridden jeans !;;;#favoritejeans;
1710;2013-01-02;Taking off skinny jeans is so annoying;;;;
1713;2013-01-02;@nrndr_ Chino& Jeans bhn strecth/cotton wrn,size by req mlai dr 130rb 08818243779/pin 32a5d293 | ready aprill,zara,psd,nudie 150rb;;@nrndr_;;
1714;2013-01-02;Niall in skinny jeans is just too much for me to handle.;;;;
1716;2013-01-02;Bloo jeans - 10mins Later, Half Asian;;;;
1717;2013-01-02;When you realize your jeans dyed your legs dark blue so it looks like you were brutally beaten and have numerous bruises #whoops;;;#whoops;
1718;2013-01-02;RT @bhatt4022013I love sleeping in jeans and a t-shirt;;@bhatt4022013I;;
1719;2013-01-02;Gunna make a nigga buy a ring for ya ' finger, jimmies for yaa' feet, jeans for that butt, laungery for the sheets (: #theweeknd .;;;#theweeknd;
1720;2013-01-02;awkward workers at gloria jeans and kidnapping @CrackheadSpeed @mdibennardix #causewerecool;;@CrackheadSpeed @mdibennardix;#causewerecool;
1723;2013-01-02;Put your hands on me in my skin tight jeans . Be my teenage dream tonight;;;;
1724;2013-01-02;Lights dim, shirt off, jeans rolled up, head phones in my ear and poobys', lap dance to #Weeknd ft. @Drake #Zone #TurnOn #TurnUp #TurnOut;;@Drake;#Weeknd #Zone #TurnOn #TurnUp #TurnOut;
1725;2013-01-02;#iHateWhen the short jeans are still too long. #shortgirlproblems @shortgrlprblem;;@shortgrlprblem;#iHateWhen #shortgirlproblems;
1726;2013-01-02;i've got eyebrow pencil all over my jeans and it's gone all melted and its like wax #ew;;;#ew;
1727;2013-01-02;I think I left my jeans at your house! They are American eagle size 4 jeggings! I have no idea where they are! @livforever2121;;@livforever2121;;
1729;2013-01-02;@disasterpiece28 A woman without curves is like jeans without pockets, you don't know where to put your hands!;;@disasterpiece28;;
1730;2013-01-02;How tf did skinny jeans catch on as a fashion statement smfh;;;;
1733;2013-01-02;I Really Need Iced Tea, From Gloria Jeans Please #sobadly;;;#sobadly;
1734;2013-01-02;@Luciee_97 at least you got them :) I really wanted a new guitar but I got a pair of tartan jeans so can't complain :P haha;;@Luciee_97;;
1736;2013-01-02;Your lookin so good in whats left of those blue jeans;;;;
1737;2013-01-02;Don't nobody wear light blue jeans nomore she shot tf out;;;;
1738;2013-01-02;Voi jeans wanker on the loose @y0uthy;;@y0uthy;;
1741;2013-01-02;And tall t's RT“@AmburrrrSimone: You got a lot of girbaud jeans ha”;;@AmburrrrSimone;;
1743;2013-01-02;blue jeans , white shirt, walked into the room and you made my eyes hurt';;;;
1744;2013-01-02;@LysetteSalinas yeah! Lmao! Just wear like some black jeans & a sweater.;;@LysetteSalinas;;
1746;2013-01-02;@pbal1 @andy_ballard01 got him well cool jeans with braces but there 6-9 cumfier clothes for wen he's teeny :);Wigan, England;@pbal1 @andy_ballard01;;
1747;2013-01-02;Finally, a store got it right. Putting the short jeans on the bottom shelf. #props #shortgirlproblems;;;#props #shortgirlproblems;
1748;2013-01-02;I have new jeans;;;;
1749;2013-01-02;@nickvitt thanks omg I need to do jean shopping and your jeans are always so cute;;@nickvitt;;
1750;2013-01-02;trying to find jeans that fit me is impossible -___- #athleteproblems #biglegs;;;#athleteproblems #biglegs;
1753;2013-01-02;@brittanykae23 still has my jeans . #notcool;;@brittanykae23;#notcool;
